month,day,height,input,contain,empty,output,sea,cdb,jsb,hgb,hjb,dgb,jgb,sjd
5,11,24.92,263,208.52,35.48,263,363,315.7,307.2,307,280.3,0,0,0
5,11,24.92,263,208.52,35.48,263,349,319.7,311.2,310,274.3,0,0,0
5,11,24.92,262,208.52,35.48,262,335,321.7,312.2,311,270.3,0,0,0
5,11,24.92,262,208.52,35.48,262,320,321.7,313.2,311,269.3,0,0,0
5,11,24.93,362,208.88,35.12,262,306,321.7,311.2,307,272.3,0,0,0
5,11,24.92,262,208.52,35.48,262,293,318.7,306.2,303,278.3,0,0,0
5,11,24.92,262,208.52,35.48,262,280,313.7,301.2,300,282.3,0,0,0
5,11,24.93,362,208.88,35.12,262,267,307.7,297.2,299,285.3,0,0,0
5,11,24.93,362,208.88,35.12,262,255,300.7,295.2,297,286.3,0,0,0
5,11,24.93,362,208.88,35.12,262,243,295.7,294.2,297,287.3,0,0,0
5,11,24.93,262,208.88,35.12,262,231,291.7,293.2,297,287.3,0,0,0
5,11,24.93,362,208.88,35.12,262,219,290.7,292.2,297,286.3,0,0,0
5,11,24.93,362,208.88,35.12,262,208,292.7,291.2,296,286.3,0,0,0
5,11,24.93,262,208.88,35.12,262,198,294.7,291.2,294,285.3,0,0,0
5,11,24.93,262,208.88,35.12,244,187,296.7,291.2,293,283.3,0,0,0
5,11,24.94,240,209.24,34.76,140,177,297.7,291.2,293,281.3,0,0,0
5,11,24.93,145,208.88,35.12,145,166,298.7,291.2,292,279.3,0,0,0
5,12,24.95,345,209.6,34.4,145,155,299.7,291.2,292,276.3,0,0,0
5,12,24.94,232,209.24,34.76,132,145,298.7,291.2,293,274.3,0,0,0
5,12,24.94,232,209.24,34.76,132,136,297.7,291.2,293,273.3,0,0,0
5,12,24.95,332,209.6,34.4,132,126,296.7,291.2,293,273.3,0,0,0
5,12,24.93,32,208.88,35.12,132,118,295.7,290.2,291,273.3,0,0,0
5,12,24.92,32,208.52,35.48,132,108,294.7,288.2,290,275.3,0,0,0
5,12,24.9,0,207.8,36.2,132,99,292.7,287.2,289,276.3,0,0,0
5,12,24.9,0,207.8,36.2,132,92,290.7,286.2,288,276.3,0,0,0
5,12,24.9,0,207.8,36.2,132,87,288.7,285.2,288,275.3,0,0,0
5,12,24.9,0,207.8,36.2,132,85,288.7,284.2,287,275.3,0,0,0
5,12,24.9,0,207.8,36.2,132,96,287.7,284.2,287,274.3,0,0,0
5,12,24.9,0,207.8,36.2,132,118,287.7,284.2,287,274.3,0,0,0
5,12,24.92,331,208.52,35.48,132,138,287.7,283.2,286,273.3,0,0,0
5,12,24.92,331,208.52,35.48,132,155,288.7,283.2,285,272.3,0,0,0
5,12,24.93,431,208.88,35.12,132,170,288.7,282.2,285,272.3,0,0,0
5,12,24.93,431,208.88,35.12,132,185,286.7,282.2,284,271.3,0,0,0
5,12,24.93,431,208.88,35.12,132,200,285.7,282.2,284,270.3,0,0,0
5,12,24.93,431,208.88,35.12,132,217,286.7,282.2,284,269.3,0,0,0
5,12,24.93,232,208.88,35.12,132,236,285.7,281.2,284,268.3,0,0,0
5,12,24.92,132,208.52,35.48,132,261,284.7,281.2,283,268.3,0,0,0
5,12,24.92,32,208.52,35.48,132,290,284.7,280.2,282,268.3,0,0,0
5,12,24.9,0,207.8,36.2,132,319,284.7,279.2,282,268.3,0,0,0
5,12,24.9,0,207.8,36.2,132,346,283.7,279.2,281,268.3,0,0,0
5,12,24.9,0,207.8,36.2,132,371,282.7,278.2,280,269.3,0,0,0
5,12,24.89,0,207.44,36.56,132,397,282.7,278.2,280,268.3,0,0,0
5,12,24.89,0,207.44,36.56,132,424,281.7,277.2,280,267.3,0,0,0
5,12,24.89,0,207.44,36.56,132,451,280.7,277.2,280,267.3,0,0,0
5,12,24.89,32,207.44,36.56,132,477,279.7,277.2,279,266.3,0,0,0
5,12,24.9,132,207.8,36.2,132,504,279.7,276.2,278,265.3,0,0,0
5,12,24.9,132,207.8,36.2,132,530,279.7,276.2,278,265.3,0,0,0
5,12,24.9,232,207.8,36.2,132,558,279.7,275.2,278,264.3,0,0,0
5,12,24.9,232,207.8,36.2,132,583,280.7,275.2,277,264.3,0,0,0
5,12,24.9,232,207.8,36.2,132,606,279.7,275.2,277,263.3,0,0,0
5,12,24.9,232,207.8,36.2,132,626,278.7,275.2,277,263.3,0,0,0
5,12,24.9,132,207.8,36.2,132,645,279.7,275.2,277,262.3,0,0,0
5,12,24.9,132,207.8,36.2,132,658,278.7,274.2,276,262.3,0,0,0
5,12,24.89,32,207.44,36.56,132,668,277.7,274.2,276,262.3,0,0,0
5,12,24.89,32,207.44,36.56,132,676,277.7,274.2,276,261.3,0,0,0
5,12,24.89,32,207.44,36.56,132,679,276.7,273.2,276,261.3,0,0,0
5,12,24.89,32,207.44,36.56,132,679,277.7,273.2,275,261.3,0,0,0
5,12,24.88,0,207.08,36.92,132,673,276.7,273.2,275,261.3,0,0,0
5,12,24.88,0,207.08,36.92,132,665,276.7,272.2,275,260.3,0,0,0
5,12,24.88,33,207.08,36.92,132,654,275.7,272.2,274,261.3,0,0,0
5,12,24.88,33,207.08,36.92,132,640,275.7,272.2,274,272.3,0,0,0
5,12,24.89,132,207.44,36.56,132,624,276.7,272.2,273,281.3,0,0,0
5,12,24.89,132,207.44,36.56,132,609,275.7,271.2,273,288.3,0,0,0
5,12,24.89,231,207.44,36.56,132,593,275.7,271.2,275,293.3,0,0,0
5,12,24.89,231,207.44,36.56,132,578,274.7,274.2,288,299.3,0,0,0
5,12,24.89,231,207.44,36.56,132,560,273.7,286.2,296,304.3,0,0,0
5,12,24.89,231,207.44,36.56,132,542,279.7,291.2,301,307.3,0,0,0
5,12,24.88,33,207.08,36.92,132,525,290.7,297.2,307,310.3,0,0,0
5,12,24.88,33,207.08,36.92,132,508,305.7,300.2,313,313.3,0,0,0
5,12,24.88,33,207.08,36.92,132,493,317.7,304.2,317,315.3,0,0,0
5,12,24.88,33,207.08,36.92,132,476,325.7,318.2,321,317.3,0,0,0
5,12,24.88,33,207.08,36.92,132,459,333.7,328.2,331,316.3,0,0,0
5,12,24.87,0,206.73,37.27,132,442,342.7,335.2,337,315.3,0,0,0
5,12,24.88,132,207.08,36.92,132,426,349.7,341.2,342,311.3,0,0,0
5,12,24.9,356,207.8,36.2,157,410,354.7,345.2,345,306.3,0,0,0
5,12,24.92,574,208.52,35.48,176,394,358.7,349.2,347,302.3,0,0,0
5,12,24.93,673,208.88,35.12,176,378,361.7,350.2,347,300.3,0,0,0
5,12,24.93,673,208.88,35.12,176,363,361.7,348.2,345,301.3,0,0,0
5,12,24.93,772,208.88,35.12,176,348,358.7,344.2,340,303.3,0,0,0
5,12,24.93,673,208.88,35.12,176,334,353.7,339.2,336,306.3,0,0,0
5,12,24.93,475,208.88,35.12,176,320,346.7,333.2,332,310.3,0,0,0
5,12,24.93,276,208.88,35.12,176,306,337.7,328.2,329,312.3,0,0,0
5,12,24.92,76,208.52,35.48,176,293,329.7,324.2,328,313.3,0,0,0
5,12,24.92,83,208.52,35.48,183,280,322.7,321.2,326,313.3,0,0,0
5,12,24.92,83,208.52,35.48,183,268,317.7,318.2,324,313.3,0,0,0
5,12,24.92,83,208.52,35.48,183,256,316.7,316.2,321,312.3,0,0,0
5,12,24.93,183,208.88,35.12,183,244,315.7,313.2,319,310.3,0,0,0
5,12,24.93,183,208.88,35.12,183,233,316.7,313.2,317,307.3,0,0,0
5,12,24.93,283,208.88,35.12,183,222,318.7,313.2,315,305.3,0,0,0
5,12,24.94,383,209.24,34.76,183,211,319.7,312.2,313,301.3,0,0,0
5,12,24.95,483,209.6,34.4,183,201,319.7,312.2,313,298.3,0,0,0
5,12,24.95,483,209.6,34.4,183,190,319.7,312.2,312,294.3,0,0,0
5,12,24.95,383,209.6,34.4,183,180,318.7,312.2,311,292.3,0,0,0
5,12,24.95,383,209.6,34.4,183,170,316.7,310.2,310,290.3,0,0,0
5,12,24.95,383,209.6,34.4,183,160,315.7,308.2,309,290.3,0,0,0
5,12,24.95,283,209.6,34.4,183,150,313.7,306.2,307,290.3,0,0,0
5,12,24.95,183,209.6,34.4,183,142,310.7,304.2,305,290.3,0,0,0
5,12,24.95,183,209.6,34.4,183,133,308.7,302.2,303,291.3,0,0,0
5,12,24.95,183,209.6,34.4,183,125,306.7,300.2,302,291.3,0,0,0
5,12,24.95,183,209.6,34.4,183,119,304.7,299.2,302,290.3,0,0,0
5,12,24.95,183,209.6,34.4,183,116,301.7,298.2,300,289.3,0,0,0
5,12,24.96,283,209.96,34.04,183,119,300.7,297.2,300,288.3,0,0,0
5,12,24.96,283,209.96,34.04,183,135,299.7,296.2,298,286.3,0,0,0
5,12,24.96,283,209.96,34.04,183,156,299.7,295.2,298,285.3,0,0,0
5,12,24.96,283,209.96,34.04,183,172,299.7,295.2,297,284.3,0,0,0
5,12,24.97,383,210.32,33.68,183,186,300.7,294.2,296,283.3,0,0,0
5,12,24.97,383,210.32,33.68,183,198,299.7,293.2,295,281.3,0,0,0
5,12,24.97,283,210.32,33.68,183,211,299.7,293.2,294,280.3,0,0,0
5,12,24.97,283,210.32,33.68,183,224,298.7,292.2,293,279.3,0,0,0
5,12,24.98,384,210.68,33.32,183,238,297.7,292.2,292,278.3,0,0,0
5,12,24.98,384,210.68,33.32,183,256,297.7,290.2,292,277.3,0,0,0
5,12,24.98,284,210.68,33.32,183,279,295.7,289.2,291,277.3,0,0,0
5,12,24.98,284,210.68,33.32,183,306,295.7,288.2,291,277.3,0,0,0
5,12,25,484,211.41,32.59,182,333,293.7,288.2,289,276.3,0,0,0
5,12,25,484,211.41,32.59,182,357,292.7,287.2,289,276.3,0,0,0
5,12,25,384,211.41,32.59,182,380,291.7,286.2,288,276.3,0,0,0
5,12,25,384,211.41,32.59,182,404,290.7,285.2,287,275.3,0,0,0
5,12,25.01,484,211.77,32.23,182,429,290.7,285.2,287,274.3,0,0,0
5,12,25.01,484,211.77,32.23,182,452,289.7,284.2,286,274.3,0,0,0
5,12,25.01,283,211.77,32.23,182,475,288.7,284.2,286,273.3,0,0,0
5,12,25.01,283,211.77,32.23,182,498,288.7,284.2,286,272.3,0,0,0
5,12,25.01,283,211.77,32.23,182,520,289.7,283.2,285,272.3,0,0,0
5,12,25.02,383,212.14,31.86,182,540,289.7,283.2,284,271.3,0,0,0
5,12,25.02,283,212.14,31.86,182,558,288.7,282.2,283,269.3,0,0,0
5,12,25.02,283,212.14,31.86,182,575,288.7,282.2,283,268.3,0,0,0
5,12,25.02,283,212.14,31.86,182,589,287.7,282.2,283,268.3,0,0,0
5,12,25.02,283,212.14,31.86,182,601,286.7,281.2,282,267.3,0,0,0
5,12,25.03,384,212.5,31.5,182,610,286.7,280.2,282,267.3,0,0,0
5,12,25.03,283,212.5,31.5,182,615,286.7,280.2,281,266.3,0,0,0
5,12,25.03,283,212.5,31.5,182,615,285.7,279.2,281,267.3,0,0,0
5,12,25.03,283,212.5,31.5,182,611,284.7,279.2,281,267.3,0,0,0
5,12,25.04,377,212.86,31.14,175,604,283.7,278.2,280,267.3,0,0,0
5,12,25.04,371,212.86,31.14,169,594,283.7,278.2,280,267.3,0,0,0
5,12,25.04,270,212.86,31.14,169,581,283.7,278.2,279,267.3,0,0,0
5,12,25.04,276,212.86,31.14,175,566,282.7,277.2,278,266.3,0,0,0
5,12,25.04,276,212.86,31.14,175,550,282.7,277.2,279,269.3,0,0,0
5,12,25.04,276,212.86,31.14,175,536,282.7,277.2,278,278.3,0,0,0
5,12,25.04,175,212.86,31.14,175,520,282.7,276.2,278,283.3,0,0,0
5,12,25.04,175,212.86,31.14,175,503,282.7,276.2,278,287.3,0,0,0
5,12,25.05,276,213.23,30.77,175,486,282.7,276.2,285,290.3,0,0,0
5,12,25.05,276,213.23,30.77,175,468,282.7,283.2,291,292.3,0,0,0
5,12,25.05,276,213.23,30.77,175,451,282.7,289.2,296,293.3,0,0,0
5,12,25.04,276,213.23,30.77,175,435,290.7,293.2,300,294.3,0,0,0
5,12,25.04,175,212.86,31.14,175,419,298.7,296.2,303,294.3,0,0,0
5,12,25.02,0,212.14,31.86,176,403,311.7,299.2,306,294.3,0,0,0
5,12,25.02,0,212.14,31.86,176,388,318.7,303.2,308,292.3,0,0,0
5,12,25.02,0,212.14,31.86,176,373,324.7,313.2,311,289.3,0,0,0
5,12,25.02,0,212.14,31.86,176,357,328.7,317.2,316,284.3,0,0,0
5,12,25.02,0,212.14,31.86,176,343,331.7,319.2,318,278.3,0,0,0
5,12,25.02,0,212.14,31.86,176,329,333.7,321.2,319,275.3,0,0,0
5,12,25.03,75,212.14,31.86,176,316,333.7,320.2,317,276.3,0,0,0
5,12,25.03,276,212.5,31.5,175,301,331.7,316.2,312,281.3,0,0,0
5,12,25.03,276,212.5,31.5,175,289,326.7,310.2,308,286.3,0,0,0
5,12,25.04,377,212.86,31.14,175,276,319.7,305.2,305,290.3,0,0,0
5,12,25.04,377,212.86,31.14,175,263,312.7,302.2,304,292.3,0,0,0
5,12,25.04,377,212.86,31.14,175,251,304.7,300.2,304,294.3,0,0,0
5,12,25.04,276,212.86,31.14,175,239,299.7,298.2,304,294.3,0,0,0
5,12,25.03,175,212.5,31.5,175,227,296.7,298.2,303,293.3,0,0,0
5,12,25.03,175,212.5,31.5,175,216,295.7,296.2,301,293.3,0,0,0
5,12,25.02,0,212.14,31.86,176,205,296.7,295.2,299,292.3,0,0,0
5,12,25.01,0,211.77,32.23,176,194,298.7,295.2,298,290.3,0,0,0
5,13,25.01,0,211.77,32.23,176,184,300.7,295.2,297,288.3,0,0,0
5,13,25,0,211.41,32.59,247,173,303.7,295.2,297,285.3,0,0,0
5,13,24.98,0,210.68,33.32,266,163,303.7,295.2,297,282.3,0,0,0
5,13,24.98,0,210.68,33.32,266,152,304.7,295.2,297,279.3,0,0,0
5,13,24.97,0,210.32,33.68,266,143,301.7,295.2,297,277.3,0,0,0
5,13,24.98,0,210.68,33.32,266,133,301.7,295.2,296,276.3,0,0,0
5,13,24.98,0,210.68,33.32,268,123,299.7,294.2,295,276.3,0,0,0
5,13,24.98,66,210.68,33.32,268,114,297.7,292.2,294,277.3,0,0,0
5,13,24.98,268,210.68,33.32,268,105,295.7,290.2,292,278.3,0,0,0
5,13,24.98,268,210.68,33.32,268,97,292.7,289.2,291,279.3,0,0,0
5,13,24.98,369,210.68,33.32,268,89,291.7,288.2,290,279.3,0,0,0
5,13,24.98,268,210.68,33.32,268,83,289.7,287.2,290,279.3,0,0,0
5,13,24.98,268,210.68,33.32,268,80,288.7,286.2,290,278.3,0,0,0
5,13,24.97,167,210.32,33.68,268,88,287.7,286.2,289,277.3,0,0,0
5,13,24.96,67,209.96,34.04,268,110,288.7,286.2,288,276.3,0,0,0
5,13,24.96,67,209.96,34.04,268,128,288.7,286.2,288,275.3,0,0,0
5,13,24.95,0,209.6,34.4,268,145,288.7,285.2,287,275.3,0,0,0
5,13,24.95,0,209.6,34.4,268,160,289.7,285.2,287,274.3,0,0,0
5,13,24.95,0,209.6,34.4,268,174,289.7,285.2,286,273.3,0,0,0
5,13,24.95,68,209.6,34.4,268,189,289.7,285.2,286,272.3,0,0,0
5,13,24.95,168,209.6,34.4,268,204,288.7,284.2,286,271.3,0,0,0
5,13,24.95,168,209.6,34.4,268,223,288.7,284.2,286,270.3,0,0,0
5,13,24.95,268,209.6,34.4,268,245,287.7,283.2,285,270.3,0,0,0
5,13,24.95,268,209.6,34.4,268,273,286.7,283.2,285,270.3,0,0,0
5,13,24.95,268,209.6,34.4,268,,285.7,282.2,284,270.3,0,0,0
5,13,24.95,268,209.6,34.4,268,331,284.7,281.2,283,271.3,0,0,0
5,13,24.94,168,209.24,34.76,268,357,283.7,281.2,283,271.3,0,0,0
5,13,24.94,168,209.24,34.76,268,383,283.7,280.2,282,270.3,0,0,0
5,13,24.93,68,208.88,35.12,268,410,283.7,280.2,282,270.3,0,0,0
5,13,24.92,68,208.88,35.12,268,437,283.7,279.2,282,270.3,0,0,0
5,13,24.92,0,208.52,35.48,270,465,282.7,279.2,282,269.3,0,0,0
5,13,24.92,0,208.52,35.48,270,490,282.7,279.2,281,269.3,0,0,0
5,13,24.9,0,207.8,36.2,270,517,283.7,279.2,281,268.3,0,0,0
5,13,24.9,0,207.8,36.2,270,544,282.7,279.2,281,268.3,0,0,0
5,13,24.9,0,207.8,36.2,270,571,283.7,279.2,280,267.3,0,0,0
5,13,24.9,0,207.8,36.2,270,596,282.7,278.2,280,266.3,0,0,0
5,13,24.9,71,207.8,36.2,270,618,283.7,278.2,280,266.3,0,0,0
5,13,24.89,170,207.44,36.56,270,637,283.7,278.2,280,266.3,0,0,0
5,13,24.89,170,207.44,36.56,270,653,282.7,277.2,280,266.3,0,0,0
5,13,24.89,170,207.44,36.56,270,664,281.7,277.2,279,266.3,0,0,0
5,13,24.89,170,207.44,36.56,270,673,281.7,277.2,279,266.3,0,0,0
5,13,24.88,170,207.44,36.56,270,677,280.7,277.2,279,265.3,0,0,0
5,13,24.88,71,207.08,36.92,270,677,280.7,276.2,278,264.3,0,0,0
5,13,24.87,72,206.73,37.27,270,674,280.7,276.2,278,264.3,0,0,0
5,13,24.87,72,206.73,37.27,270,666,280.7,276.2,277,263.3,0,0,0
5,13,24.87,72,206.73,37.27,270,655,280.7,276.2,277,263.3,0,0,0
5,13,24.87,72,206.73,37.27,270,643,280.7,275.2,277,269.3,0,0,0
5,13,24.87,171,206.73,37.27,270,628,280.7,275.2,277,280.3,0,0,0
5,13,24.86,72,206.37,37.63,270,613,279.7,275.2,277,288.3,0,0,0
5,13,24.86,171,206.37,37.63,270,597,279.7,275.2,277,295.3,0,0,0
5,13,24.87,270,206.73,37.27,270,581,280.7,275.2,287,300.3,0,0,0
5,13,24.87,270,206.73,37.27,270,563,279.7,286.2,296,304.3,0,0,0
5,13,24.88,369,207.08,36.92,270,546,280.7,294.2,303,308.3,0,0,0
5,13,24.88,421,207.08,36.92,322,528,291.7,298.2,308,312.3,0,0,0
5,13,24.89,528,207.44,36.56,330,511,302.7,304.2,314,315.3,0,0,0
5,13,24.88,529,207.08,36.92,331,494,319.7,308.2,319,317.3,0,0,0
5,13,24.88,529,207.08,36.92,331,478,329.7,317.2,324,319.3,0,0,0
5,13,24.88,430,207.08,36.92,331,460,339.7,331.2,332,319.3,0,0,0
5,13,24.88,332,207.08,36.92,332,443,346.7,339.2,340,318.3,0,0,0
5,13,24.87,233,206.73,37.27,332,427,354.7,345.2,345,316.3,0,0,0
5,13,24.87,134,206.73,37.27,332,411,361.7,351.2,349,311.3,0,0,0
5,13,24.87,233,206.73,37.27,332,395,365.7,354.2,352,305.3,0,0,0
5,13,24.87,233,206.73,37.27,332,379,368.7,356.2,352,303.3,0,0,0
5,13,24.87,233,206.73,37.27,332,364,369.7,355.2,351,304.3,0,0,0
5,13,24.87,233,206.73,37.27,332,349,367.7,351.2,347,307.3,0,0,0
5,13,24.87,332,206.73,37.27,332,334,363.7,346.2,342,311.3,0,0,0
5,13,24.87,332,206.73,37.27,332,320,356.7,340.2,337,314.3,0,0,0
5,13,24.87,252,206.73,37.27,252,307,348.7,334.2,335,314.3,0,0,0
5,13,24.9,459,207.8,36.2,160,294,340.7,330.2,334,313.3,0,0,0
5,13,24.88,272,207.08,36.92,173,281,333.7,328.2,332,313.3,0,0,0
5,13,24.89,370,207.44,36.56,172,269,328.7,326.2,330,312.3,0,0,0
5,13,24.9,471,207.8,36.2,172,257,326.7,323.2,325,311.3,0,0,0
5,13,24.89,369,207.44,36.56,171,245,325.7,318.2,322,308.3,0,0,0
5,13,24.9,470,207.8,36.2,171,234,325.7,317.2,319,307.3,0,0,0
5,13,24.9,171,207.8,36.2,171,223,323.7,315.2,317,304.3,0,0,0
5,13,24.9,370,207.8,36.2,171,212,321.7,315.2,315,300.3,0,0,0
5,13,24.89,171,207.44,36.56,171,201,319.7,314.2,314,297.3,0,0,0
5,13,24.9,171,207.8,36.2,171,190,319.7,312.2,313,294.3,0,0,0
5,13,24.9,271,207.8,36.2,171,180,317.7,309.2,310,291.3,0,0,0
5,13,24.9,171,207.8,36.2,171,170,315.7,308.2,308,289.3,0,0,0
5,13,24.92,369,208.52,35.48,170,161,314.7,306.2,306,288.3,0,0,0
5,13,24.92,369,208.52,35.48,170,151,311.7,304.2,305,286.3,0,0,0
5,13,24.92,468,208.52,35.48,170,143,308.7,301.2,302,285.3,0,0,0
5,13,24.92,369,208.52,35.48,170,134,306.7,299.2,301,283.3,0,0,0
5,13,24.93,369,208.52,35.48,170,126,304.7,298.2,299,285.3,0,0,0
5,13,24.93,469,208.88,35.12,170,119,302.7,296.2,298,286.3,0,0,0
5,13,24.93,270,208.88,35.12,170,113,300.7,295.2,297,285.3,0,0,0
5,13,24.94,370,209.24,34.76,170,112,298.7,293.2,295,284.3,0,0,0
5,13,24.94,370,209.24,34.76,170,121,297.7,292.2,297,282.3,0,0,0
5,13,24.94,370,209.24,34.76,170,143,295.7,293.2,296,281.3,0,0,0
5,13,24.95,370,209.6,34.4,170,164,294.7,293.2,295,280.3,0,0,0
5,13,24.95,370,209.6,34.4,170,178,297.7,293.2,294,278.3,0,0,0
5,13,24.95,370,209.6,34.4,170,191,297.7,292.2,293,277.3,0,0,0
5,13,24.95,270,209.6,34.4,170,203,300.7,291.2,292,275.3,0,0,0
5,13,24.95,270,209.6,34.4,170,214,298.7,291.2,290,274.3,0,0,0
5,13,24.95,270,209.6,34.4,170,227,298.7,291.2,292,273.3,0,0,0
5,13,24.95,270,209.6,34.4,170,243,296.7,291.2,292,272.3,0,0,0
5,13,24.96,170,209.6,34.4,170,263,295.7,290.2,291,272.3,0,0,0
5,13,24.96,270,209.96,34.04,170,288,293.7,289.2,290,271.3,0,0,0
5,13,24.96,270,209.96,34.04,170,315,293.7,288.2,290,271.3,0,0,0
5,13,24.96,270,209.96,34.04,170,340,291.7,287.2,288,272.3,0,0,0
5,13,24.97,370,210.32,33.68,170,363,290.7,286.2,288,273.3,0,0,0
5,13,24.97,370,210.32,33.68,170,386,289.7,285.2,287,272.3,0,0,0
5,13,24.97,270,210.32,33.68,170,410,289.7,285.2,286,272.3,0,0,0
5,13,24.97,270,210.32,33.68,170,432,288.7,284.2,286,271.3,0,0,0
5,13,24.97,270,210.32,33.68,170,455,288.7,284.2,286,270.3,0,0,0
5,13,24.95,70,209.6,34.4,170,476,287.7,284.2,286,270.3,0,0,0
5,13,24.95,70,209.6,34.4,170,497,287.7,284.2,285,269.3,0,0,0
5,13,24.94,0,209.24,34.76,170,518,287.7,283.2,284,268.3,0,0,0
5,13,24.94,0,209.24,34.76,170,537,288.7,283.2,284,267.3,0,0,0
5,13,24.94,0,209.24,34.76,170,553,288.7,282.2,283,267.3,0,0,0
5,13,24.94,0,209.24,34.76,170,568,287.7,282.2,283,266.3,0,0,0
5,13,24.94,70,209.24,34.76,170,580,287.7,282.2,283,266.3,0,0,0
5,13,24.94,70,209.24,34.76,170,588,286.7,281.2,283,266.3,0,0,0
5,13,24.95,270,209.6,34.4,170,591,285.7,281.2,282,265.3,0,0,0
5,13,24.95,270,209.6,34.4,170,592,285.7,280.2,281,265.3,0,0,0
5,13,24.95,270,209.6,34.4,170,590,284.7,280.2,281,265.3,0,0,0
5,13,24.98,572,210.68,33.32,170,584,283.7,279.2,281,266.3,0,0,0
5,13,25,772,211.41,32.59,169,574,283.7,279.2,281,266.3,0,0,0
5,13,25,772,211.41,32.59,169,561,282.7,278.2,280,265.3,0,0,0
5,13,24.99,571,211.05,32.95,169,547,282.7,278.2,279,265.3,0,0,0
5,13,24.98,472,210.68,33.32,170,533,281.7,277.2,279,264.3,0,0,0
5,13,24.98,472,210.68,33.32,170,519,282.7,277.2,279,267.3,0,0,0
5,13,24.98,170,210.68,33.32,170,503,281.7,277.2,279,275.3,0,0,0
5,13,24.97,0,210.32,33.68,170,486,281.7,277.2,279,280.3,0,0,0
5,13,24.97,0,210.32,33.68,170,469,281.7,277.2,279,283.3,0,0,0
5,13,24.96,0,209.96,34.04,170,452,282.7,277.2,282,285.3,0,0,0
5,13,24.96,0,209.96,34.04,170,435,280.7,281.2,289,287.3,0,0,0
5,13,24.97,69,210.32,33.68,170,418,281.7,288.2,294,288.3,0,0,0
5,13,24.97,69,210.32,33.68,170,402,286.7,291.2,297,287.3,0,0,0
5,13,24.98,271,210.68,33.32,170,386,295.7,294.2,300,287.3,0,0,0
5,13,24.98,271,210.68,33.32,170,371,307.7,295.2,301,285.3,0,0,0
5,13,25,571,211.41,32.59,169,356,312.7,298.2,302,282.3,0,0,0
5,13,25.01,671,211.77,32.23,169,341,317.7,307.2,304,277.3,0,0,0
5,13,25.02,671,212.14,31.86,169,327,319.7,311.2,308,272.3,0,0,0
5,13,25.02,671,212.14,31.86,169,313,322.7,311.2,309,271.3,0,0,0
5,13,25.02,571,212.14,31.86,169,300,322.7,311.2,307,271.3,0,0,0
5,13,25.02,571,212.14,31.86,169,286,320.7,307.2,303,272.3,0,0,0
5,13,25.02,370,212.14,31.86,169,274,317.7,301.2,299,277.3,0,0,0
5,13,25.03,371,212.5,31.5,169,262,310.7,297.2,298,281.3,0,0,0
5,13,25.03,270,212.5,31.5,169,249,303.7,295.2,298,285.3,0,0,0
5,13,25.02,169,212.14,31.86,169,237,296.7,294.2,297,286.3,0,0,0
5,13,25.02,169,212.14,31.86,169,226,292.7,292.2,295,287.3,0,0,0
5,13,25.03,270,212.5,31.5,169,214,291.7,289.2,295,287.3,0,0,0
5,14,25.03,270,212.5,31.5,169,204,290.7,289.2,294,286.3,0,0,0
5,14,25.03,229,212.5,31.5,229,192,291.7,289.2,292,285.3,0,0,0
5,14,25.02,151,212.14,31.86,252,182,293.7,289.2,292,284.3,0,0,0
5,14,25.03,353,212.5,31.5,252,171,296.7,289.2,291,281.3,0,0,0
5,14,25.03,353,212.5,31.5,252,161,298.7,289.2,291,279.3,0,0,0
5,14,25.03,252,212.5,31.5,252,150,298.7,289.2,290,275.3,0,0,0
5,14,25.03,254,212.5,31.5,254,140,299.7,289.2,290,273.3,0,0,0
5,14,25.03,254,212.5,31.5,254,130,298.7,289.2,290,271.3,0,0,0
5,14,25.04,456,212.86,31.14,254,121,297.7,289.2,290,271.3,0,0,0
5,14,25.03,254,212.5,31.5,254,112,296.7,289.2,290,271.3,0,0,0
5,14,25.04,355,212.86,31.14,254,103,295.7,287.2,288,271.3,0,0,0
5,14,25.04,355,212.86,31.14,254,94,293.7,286.2,287,273.3,0,0,0
5,14,25.04,355,212.86,31.14,254,86,290.7,285.2,287,274.3,0,0,0
5,14,25.04,355,212.86,31.14,254,78,288.7,284.2,286,274.3,0,0,0
5,14,25.04,254,212.86,31.14,254,72,286.7,283.2,285,274.3,0,0,0
5,14,25.04,355,212.86,31.14,254,69,285.7,282.2,285,274.3,0,0,0
5,14,25.04,254,212.86,31.14,254,77,285.7,282.2,285,273.3,0,0,0
5,14,25.04,254,212.86,31.14,254,101,285.7,282.2,284,272.3,0,0,0
5,14,25.04,254,212.86,31.14,254,118,285.7,281.2,284,272.3,0,0,0
5,14,25.04,254,212.86,31.14,254,135,286.7,281.2,283,271.3,0,0,0
5,14,25.04,254,212.86,31.14,254,151,287.7,281.2,283,270.3,0,0,0
5,14,25.04,254,212.86,31.14,254,166,287.7,281.2,283,269.3,0,0,0
5,14,25.04,254,212.86,31.14,254,181,287.7,281.2,282,268.3,0,0,0
5,14,25.04,254,212.86,31.14,254,198,287.7,281.2,282,267.3,0,0,0
5,14,25.04,254,212.86,31.14,254,215,285.7,280.2,282,267.3,0,0,0
5,14,25.04,254,212.86,31.14,254,238,285.7,280.2,282,267.3,0,0,0
5,14,25.04,254,212.86,31.14,254,266,285.7,279.2,281,267.3,0,0,0
